\ipa{ɕɤɣ}  &	\ipa{kə-ɕə́k}  &	\ipa{}  &	\ipa{*ɕɐk}  &	\zh{新}  &	nouveau  &	\ipa{}  &	\zh{新}  &	\ipa{*siŋ}  &	\ipa{iŋ}  &	  \\	
\ipa{si}  &	\ipa{ɕé}  &	\ipa{}  &	\ipa{*sij}  &	\zh{树}  &	arbre  &	\ipa{ɕiŋ}  &	\zh{薪}  &	\ipa{*siŋ}  &	\ipa{iŋ}  &	  \\	
\ipa{tɯ-ji}  &	\ipa{}  &	\ipa{tə-ji}  &	\ipa{*ljij}  &	\zh{田}  &	champs  &	\ipa{ʑiŋ-ka}  &	\zh{田}  &	\ipa{*ˁliŋ}  &	\ipa{iŋ}  &	  \\	
\ipa{tɯ-sni}  &	\ipa{tə-ɕné}  &	\ipa{tə-sneʔ}  &	\ipa{*(s,ɕ)nij}  &	\zh{心脏}  &	coeur  &	\ipa{sɲiŋ}  &	\zh{身}  &	\ipa{*hniŋ}  &	\ipa{iŋ}  &	  \\	
\ipa{qa-ndʐe}  &	\ipa{}  &	\ipa{ʁɐ-ndʑeʔ}  &	\ipa{*n-rej}  &	\zh{蚯蚓}  &	lombric  &	\ipa{sril}  &	\zh{蚓}  &	\ipa{*lir}  &	\ipa{ir}  &	  \\	
\ipa{kɯɕnɯz}  &	\ipa{kə-ɕnə́s}  &	\ipa{kə-snâs}  &	\ipa{*ɕnis}  &	\zh{七}  &	sept  &	\ipa{}  &	\zh{七}  &	\ipa{*s-hnit}  &	\ipa{it}  &	  \\	
\ipa{aʁdɤt}  &	\ipa{}  &	\ipa{kɐ-ʁʎdɣêt,ʁʎdɣə́t}  &	\ipa{*q-tlet}  &	\zh{跌倒}  &	glisser  &	\ipa{}  &	\zh{躓}  &	\ipa{*tr-lit-s}  &	\ipa{it}  &	1  \\	
\ipa{mi}  &	\ipa{kɐ-rmék}  &	\ipa{}  &	\ipa{*[r]mik}  &	\zh{灭火}  &	détruire  &	\ipa{}  &	\zh{滅}  &	\ipa{*mit}  &	\ipa{it}  &	  \\	
\ipa{pɣɤkhɯ}  &	\ipa{pkakʰú}  &	\ipa{pu-ku}  &	\ipa{*khu}  &	\zh{猫头鹰}  &	hibou  &	\ipa{}  &	\zh{梟}  &	\ipa{*ˁkiw}  &	\ipa{iw}  &	  \\	
\ipa{amdzɯ}  &	\ipa{}  &	\ipa{kɐ-mdzoʔ}  &	\ipa{*mdzu}  &	\zh{坐}  &	s'asseoir  &	\ipa{}  &	\zh{坐}  &	\ipa{*ˁdzoʔ}  &	\ipa{o}  &	  \\	
\ipa{tɯ-nɯ}  &	\ipa{tə-nú}  &	\ipa{tə-nôx}  &	\ipa{*nu[k]}  &	\zh{乳􁠓}  &	sein  &	\ipa{nu-ma}  &	\zh{乳}  &	\ipa{*noʔ}  &	\ipa{o}  &	  \\	
\ipa{tɯ-ku}  &	\ipa{ta-kó}  &	\ipa{tə-kuʔ}  &	\ipa{*ko}  &	\zh{头}  &	tête  &	\ipa{mgo}  &	\zh{后}  &	\ipa{*ˁgoʔ}  &	\ipa{o}  &	  \\	
\ipa{tɯ-pu}  &	\ipa{tə-pô}  &	\ipa{}  &	\ipa{*po}  &	\zh{肠子}  &	intestin  &	\ipa{pʰo-ba}  &	\zh{腑}  &	\ipa{*poʔ}  &	\ipa{o}  &	  \\	
\ipa{qioʁ}  &	\ipa{}  &	\ipa{}  &	\ipa{*qjoq}  &	\zh{呕吐}  &	vomit  &	\ipa{skʲug}  &	\zh{嘔}  &	\ipa{*qoʔ}  &	\ipa{o}  &	  \\	
\ipa{mɯrkɯ}  &	\ipa{}  &	\ipa{kɐ-mərkəʔ,mərkʰiʔ}  &	\ipa{*rkə}  &	\zh{偷}  &	voler  &	\ipa{rku}  &	\zh{寇}  &	\ipa{*ˁkho-s}  &	\ipa{o}  &	  \\	
